trip_id,pickup_datetime,passenger_count,trip_distance,fare_amount,payment_type,dropoff_datetime
TRIP100000,2022-01-22 07:05:00,3,0.5,37.2,Cash,2022-01-22 07:59:00
TRIP100001,2022-01-27 15:56:00,1,3.56,3.51,Card,2022-01-27 16:11:00
TRIP100002,2022-01-12 19:38:00,1,0.56,35.06,Card,2022-01-12 19:58:00
TRIP100003,2022-01-01 13:30:00,6,4.99,38.14,Card,2022-01-01 13:52:00
TRIP100004,2022-01-30 17:17:00,1,3.43,8.31,Card,2022-01-30 17:43:00
TRIP100005,2022-01-14 00:57:00,2,1.01,11.32,Card,2022-01-14 01:43:00
TRIP100006,2022-01-21 09:10:00,3,3.27,9.34,Card,2022-01-21 09:53:00
TRIP100007,2022-01-20 06:53:00,1,0.18,24.83,Card,2022-01-20 07:10:00
TRIP100008,2022-01-29 11:05:00,2,0.55,24.26,Card,2022-01-29 11:34:00
TRIP100009,2022-01-11 13:36:00,5,1.36,34.12,Cash,2022-01-11 13:56:00
TRIP100010,2022-01-20 09:59:00,1,0.37,6.72,Dispute,2022-01-20 10:45:00
TRIP100011,2022-01-29 17:38:00,1,18.39,25.82,Cash,2022-01-29 18:07:00
TRIP100012,2022-01-09 11:08:00,4,2.09,49.05,Cash,2022-01-09 11:15:00
TRIP100013,2022-01-21 13:46:00,1,3.41,5.0,Card,2022-01-21 14:36:00
TRIP100014,2022-01-02 01:41:00,2,4.1,12.92,Cash,2022-01-02 02:08:00
TRIP100015,2022-01-08 10:28:00,2,3.81,45.26,Card,2022-01-08 11:05:00
TRIP100016,2022-01-15 14:33:00,5,4.87,48.4,Card,2022-01-15 15:27:00
TRIP100017,2022-01-04 18:04:00,2,0.35,17.5,Card,2022-01-04 18:55:00
TRIP100018,2022-01-07 22:04:00,3,1.24,28.16,Cash,2022-01-07 22:48:00
TRIP100019,2022-01-14 02:58:00,5,2.1,43.17,No Charge,2022-01-14 03:38:00
TRIP100020,2022-01-04 19:41:00,1,3.86,48.13,Card,2022-01-04 20:24:00
TRIP100021,2022-01-18 00:03:00,5,1.32,27.06,Card,2022-01-18 00:45:00
TRIP100022,2022-01-28 11:00:00,6,1.57,11.78,Card,2022-01-28 11:52:00
TRIP100023,2022-01-16 02:04:00,2,0.69,41.95,Card,2022-01-16 03:04:00
TRIP100024,2022-01-06 17:56:00,2,0.29,13.51,Card,2022-01-06 18:18:00
TRIP100025,2022-01-04 12:51:00,1,0.61,42.09,Card,2022-01-04 13:07:00
TRIP100026,2022-01-11 00:56:00,1,9.24,23.6,Card,2022-01-11 01:39:00
TRIP100027,2022-01-04 08:58:00,1,1.54,10.06,Card,2022-01-04 09:35:00
TRIP100028,2022-01-28 00:59:00,1,3.06,45.16,Card,2022-01-28 01:53:00
TRIP100029,2022-01-21 09:51:00,5,4.15,4.05,No Charge,2022-01-21 10:40:00
TRIP100030,2022-01-21 15:16:00,1,1.03,37.49,Card,2022-01-21 15:27:00
TRIP100031,2022-01-14 18:23:00,1,2.11,43.38,Cash,2022-01-14 19:07:00
TRIP100032,2022-01-14 14:29:00,2,1.26,13.42,Cash,2022-01-14 14:47:00
TRIP100033,2022-01-11 00:12:00,6,0.62,45.19,Cash,2022-01-11 00:46:00
TRIP100034,2022-01-04 14:14:00,3,0.88,21.84,Cash,2022-01-04 14:42:00
TRIP100035,2022-01-20 18:59:00,2,2.73,15.66,Card,2022-01-20 19:56:00
TRIP100036,2022-01-25 16:48:00,2,1.95,32.72,Card,2022-01-25 17:23:00
TRIP100037,2022-01-14 05:50:00,1,1.88,15.27,Card,2022-01-14 06:36:00
TRIP100038,2022-01-27 15:29:00,2,6.11,25.01,Cash,2022-01-27 15:50:00
TRIP100039,2022-01-06 23:16:00,1,4.91,7.75,Card,2022-01-07 00:05:00
TRIP100040,2022-01-18 06:03:00,2,0.57,4.15,Card,2022-01-18 06:33:00
TRIP100041,2022-01-28 22:00:00,3,1.88,28.07,Cash,2022-01-28 22:38:00
TRIP100042,2022-01-08 12:48:00,2,1.82,13.97,Card,2022-01-08 13:26:00
TRIP100043,2022-01-20 06:23:00,2,2.84,24.54,Cash,2022-01-20 06:49:00
TRIP100044,2022-01-17 00:41:00,2,0.4,44.99,Card,2022-01-17 01:25:00
TRIP100045,2022-01-27 17:56:00,1,0.19,29.16,Card,2022-01-27 18:04:00
TRIP100046,2022-01-30 01:40:00,1,1.99,22.22,Card,2022-01-30 02:06:00
TRIP100047,2022-01-09 04:05:00,2,0.2,23.5,Card,2022-01-09 04:58:00
TRIP100048,2022-01-26 06:30:00,2,1.77,8.26,Dispute,2022-01-26 06:48:00
TRIP100049,2022-01-26 04:39:00,6,1.26,44.05,Card,2022-01-26 05:16:00
TRIP100050,2022-01-18 10:05:00,1,2.5,16.08,No Charge,2022-01-18 10:40:00
TRIP100051,2022-01-04 21:53:00,1,18.78,9.88,No Charge,2022-01-04 22:32:00
TRIP100052,2022-01-30 18:24:00,3,3.76,7.56,Card,2022-01-30 18:36:00
TRIP100053,2022-01-06 13:09:00,1,1.66,17.69,Cash,2022-01-06 13:37:00
TRIP100054,2022-01-25 15:12:00,1,5.07,43.28,Card,2022-01-25 15:48:00
TRIP100055,2022-01-05 11:05:00,1,4.73,17.28,Card,2022-01-05 11:49:00
TRIP100056,2022-01-19 14:43:00,5,1.69,15.18,Card,2022-01-19 14:53:00
TRIP100057,2022-01-10 22:28:00,1,0.78,36.42,Card,2022-01-10 23:01:00
TRIP100058,2022-01-11 03:08:00,4,2.72,49.73,Dispute,2022-01-11 04:04:00
TRIP100059,2022-01-15 23:37:00,1,1.6,41.41,Card,2022-01-16 00:21:00
TRIP100060,2022-01-05 22:56:00,1,0.03,14.13,Card,2022-01-05 23:10:00
TRIP100061,2022-01-08 04:17:00,4,1.01,8.44,Cash,2022-01-08 05:03:00
TRIP100062,2022-01-01 09:25:00,2,1.28,20.34,Card,2022-01-01 09:32:00
TRIP100063,2022-01-10 03:39:00,1,1.49,43.41,Card,2022-01-10 04:17:00
TRIP100064,2022-01-06 05:15:00,1,3.02,36.34,Card,2022-01-06 06:05:00
TRIP100065,2022-01-12 17:44:00,4,3.44,39.62,Card,2022-01-12 18:20:00
TRIP100066,2022-01-13 19:05:00,2,3.15,27.53,Cash,2022-01-13 19:30:00
TRIP100067,2022-01-21 19:29:00,5,1.02,22.86,Cash,2022-01-21 20:24:00
TRIP100068,2022-01-21 07:12:00,2,0.62,43.6,Cash,2022-01-21 07:56:00
TRIP100069,2022-01-21 03:51:00,6,8.72,38.23,Card,2022-01-21 04:21:00
TRIP100070,2022-01-16 13:49:00,3,1.48,17.57,Card,2022-01-16 14:46:00
TRIP100071,2022-01-29 14:21:00,3,6.95,46.69,Card,2022-01-29 15:03:00
TRIP100072,2022-01-16 14:08:00,2,7.46,4.46,Card,2022-01-16 15:00:00
TRIP100073,2022-01-10 13:28:00,3,2.24,28.79,Dispute,2022-01-10 14:00:00
TRIP100074,2022-01-24 18:38:00,2,1.25,46.73,Card,2022-01-24 18:43:00
TRIP100075,2022-01-09 23:59:00,3,10.09,3.7,Cash,2022-01-10 00:44:00
TRIP100076,2022-01-11 03:59:00,2,6.26,31.59,Cash,2022-01-11 04:07:00
TRIP100077,2022-01-14 05:02:00,1,4.73,23.01,Card,2022-01-14 05:13:00
TRIP100078,2022-01-10 03:24:00,5,0.1,31.16,Dispute,2022-01-10 04:17:00
TRIP100079,2022-01-11 18:55:00,3,3.96,11.17,Card,2022-01-11 19:02:00
TRIP100080,2022-01-27 10:02:00,3,4.24,33.27,Cash,2022-01-27 10:31:00
TRIP100081,2022-01-24 21:54:00,3,1.86,28.24,Cash,2022-01-24 22:40:00
TRIP100082,2022-01-22 10:13:00,2,1.72,17.09,Card,2022-01-22 10:56:00
TRIP100083,2022-01-19 04:47:00,3,4.09,38.61,Card,2022-01-19 05:44:00
TRIP100084,2022-01-09 07:14:00,2,0.12,12.51,Cash,2022-01-09 07:56:00
TRIP100085,2022-01-02 22:11:00,1,4.67,23.16,No Charge,2022-01-02 22:41:00
TRIP100086,2022-01-08 00:52:00,2,0.47,38.92,Cash,2022-01-08 01:41:00
TRIP100087,2022-01-09 21:13:00,1,5.5,48.45,Cash,2022-01-09 21:54:00
TRIP100088,2022-01-03 18:45:00,1,8.54,8.95,Card,2022-01-03 19:17:00
TRIP100089,2022-01-27 18:53:00,2,3.44,15.64,Card,2022-01-27 19:16:00
TRIP100090,2022-01-07 19:38:00,5,0.27,5.25,Cash,2022-01-07 20:25:00
TRIP100091,2022-01-12 05:20:00,2,0.13,23.78,Card,2022-01-12 05:31:00
TRIP100092,2022-01-24 22:55:00,3,0.74,10.99,Card,2022-01-24 23:13:00
TRIP100093,2022-01-12 07:40:00,6,3.21,29.61,Card,2022-01-12 07:53:00
TRIP100094,2022-01-12 20:33:00,3,0.33,8.37,Card,2022-01-12 20:58:00
TRIP100095,2022-01-08 01:41:00,1,2.54,27.95,Card,2022-01-08 02:32:00
TRIP100096,2022-01-14 16:38:00,2,1.08,14.56,Card,2022-01-14 16:57:00
TRIP100097,2022-01-30 09:16:00,3,0.28,29.84,Cash,2022-01-30 10:05:00
TRIP100098,2022-01-06 12:08:00,1,0.21,5.52,Card,2022-01-06 12:28:00
TRIP100099,2022-01-18 12:44:00,2,2.99,46.01,Card,2022-01-18 13:10:00
TRIP100100,2022-01-24 02:03:00,5,2.52,14.92,Card,2022-01-24 03:02:00
TRIP100101,2022-01-22 01:59:00,1,5.27,9.08,Card,2022-01-22 02:29:00
TRIP100102,2022-01-09 16:40:00,6,2.06,48.89,Cash,2022-01-09 17:28:00
TRIP100103,2022-01-23 07:10:00,1,3.85,18.63,Card,2022-01-23 07:58:00
TRIP100104,2022-01-05 16:31:00,1,1.48,8.81,Card,2022-01-05 16:37:00
TRIP100105,2022-01-06 07:26:00,2,3.07,11.46,Cash,2022-01-06 07:55:00
TRIP100106,2022-01-25 04:38:00,2,6.43,23.47,Card,2022-01-25 04:48:00
TRIP100107,2022-01-14 16:43:00,1,8.62,12.3,Cash,2022-01-14 17:13:00
TRIP100108,2022-01-16 22:06:00,5,6.16,17.8,Card,2022-01-16 22:51:00
TRIP100109,2022-01-13 09:16:00,1,3.25,49.92,Card,2022-01-13 09:58:00
TRIP100110,2022-01-14 22:53:00,1,6.24,14.9,Card,2022-01-14 23:11:00
TRIP100111,2022-01-05 12:41:00,2,0.33,30.69,Cash,2022-01-05 13:30:00
TRIP100112,2022-01-13 01:51:00,1,0.06,26.95,No Charge,2022-01-13 02:20:00
TRIP100113,2022-01-04 14:15:00,1,4.4,8.56,Cash,2022-01-04 14:41:00
TRIP100114,2022-01-30 13:35:00,3,1.16,21.72,Card,2022-01-30 14:06:00
TRIP100115,2022-01-10 22:51:00,6,3.56,33.54,Card,2022-01-10 23:23:00
TRIP100116,2022-01-22 17:22:00,2,0.17,45.82,Card,2022-01-22 18:22:00
TRIP100117,2022-01-21 20:09:00,6,2.83,19.99,Card,2022-01-21 20:55:00
TRIP100118,2022-01-22 18:58:00,2,2.22,40.38,Cash,2022-01-22 19:21:00
TRIP100119,2022-01-13 18:44:00,1,1.67,35.46,Card,2022-01-13 19:16:00
TRIP100120,2022-01-03 20:18:00,2,2.11,6.12,Card,2022-01-03 20:28:00
TRIP100121,2022-01-03 03:54:00,1,14.62,31.43,Card,2022-01-03 04:49:00
TRIP100122,2022-01-04 03:04:00,2,1.65,21.31,Cash,2022-01-04 03:55:00
TRIP100123,2022-01-20 20:14:00,3,2.58,34.23,Cash,2022-01-20 20:26:00
TRIP100124,2022-01-25 05:47:00,2,0.64,17.28,Card,2022-01-25 06:44:00
TRIP100125,2022-01-06 19:45:00,1,3.65,43.81,Card,2022-01-06 20:19:00
TRIP100126,2022-01-16 07:44:00,2,3.31,5.84,Card,2022-01-16 08:25:00
TRIP100127,2022-01-04 09:31:00,1,0.74,26.33,Cash,2022-01-04 09:40:00
TRIP100128,2022-01-24 05:17:00,1,7.44,9.37,Cash,2022-01-24 06:07:00
TRIP100129,2022-01-22 22:31:00,1,7.69,13.35,Card,2022-01-22 22:41:00
TRIP100130,2022-01-09 22:12:00,2,4.08,31.53,Card,2022-01-09 22:44:00
TRIP100131,2022-01-27 23:40:00,1,2.99,14.34,Card,2022-01-28 00:30:00
TRIP100132,2022-01-30 10:25:00,4,1.65,16.55,Cash,2022-01-30 10:30:00
TRIP100133,2022-01-06 11:09:00,2,0.02,27.0,Card,2022-01-06 11:38:00
TRIP100134,2022-01-21 11:47:00,4,5.66,42.44,Card,2022-01-21 12:33:00
TRIP100135,2022-01-16 05:00:00,2,2.92,43.23,Card,2022-01-16 05:29:00
TRIP100136,2022-01-21 06:50:00,5,3.56,7.92,Card,2022-01-21 07:41:00
TRIP100137,2022-01-01 16:55:00,3,2.14,15.09,Cash,2022-01-01 17:23:00
TRIP100138,2022-01-17 01:21:00,2,6.44,17.5,Card,2022-01-17 02:05:00
TRIP100139,2022-01-22 18:29:00,1,0.23,41.31,Dispute,2022-01-22 18:47:00
TRIP100140,2022-01-21 07:24:00,3,4.3,47.03,Card,2022-01-21 08:13:00
TRIP100141,2022-01-29 09:12:00,2,0.28,48.54,Card,2022-01-29 09:22:00
TRIP100142,2022-01-21 10:34:00,6,1.1,23.92,Card,2022-01-21 10:58:00
TRIP100143,2022-01-24 08:03:00,2,0.17,14.48,Cash,2022-01-24 08:22:00
TRIP100144,2022-01-18 06:30:00,4,4.62,5.34,Card,2022-01-18 06:46:00
TRIP100145,2022-01-05 03:40:00,4,7.16,42.38,Card,2022-01-05 04:09:00
TRIP100146,2022-01-06 23:18:00,2,2.61,41.37,Card,2022-01-06 23:50:00
TRIP100147,2022-01-01 04:03:00,1,2.56,38.15,Card,2022-01-01 04:45:00
TRIP100148,2022-01-16 15:12:00,2,2.5,21.61,Cash,2022-01-16 15:23:00
TRIP100149,2022-01-25 21:20:00,2,6.14,19.87,Card,2022-01-25 22:13:00
TRIP100150,2022-01-01 08:10:00,5,7.44,17.31,Card,2022-01-01 09:06:00
TRIP100151,2022-01-02 18:34:00,4,2.83,23.24,Card,2022-01-02 18:47:00
TRIP100152,2022-01-20 01:54:00,5,6.54,35.12,Cash,2022-01-20 02:08:00
TRIP100153,2022-01-06 06:39:00,4,0.12,25.33,Card,2022-01-06 07:35:00
TRIP100154,2022-01-23 01:18:00,1,10.56,18.94,Cash,2022-01-23 01:41:00
TRIP100155,2022-01-02 05:35:00,1,4.54,49.29,Card,2022-01-02 05:45:00
TRIP100156,2022-01-26 16:01:00,1,0.45,14.14,Card,2022-01-26 16:50:00
TRIP100157,2022-01-27 10:45:00,2,8.07,20.2,Card,2022-01-27 11:44:00
TRIP100158,2022-01-14 09:44:00,2,0.99,25.19,Cash,2022-01-14 10:19:00
TRIP100159,2022-01-25 05:49:00,2,2.3,23.3,Cash,2022-01-25 06:42:00
TRIP100160,2022-01-19 14:23:00,1,8.6,26.25,Cash,2022-01-19 14:53:00
TRIP100161,2022-01-27 21:40:00,2,0.81,28.08,Card,2022-01-27 22:27:00
TRIP100162,2022-01-07 22:10:00,3,0.28,23.69,Card,2022-01-07 22:56:00
TRIP100163,2022-01-22 03:13:00,1,2.67,49.63,Card,2022-01-22 03:57:00
TRIP100164,2022-01-22 11:38:00,2,6.08,16.61,Cash,2022-01-22 12:22:00
TRIP100165,2022-01-04 23:08:00,1,6.43,34.7,Cash,2022-01-04 23:22:00
TRIP100166,2022-01-14 17:13:00,3,0.63,11.81,Card,2022-01-14 17:34:00
TRIP100167,2022-01-18 23:00:00,2,2.21,49.66,Card,2022-01-18 23:17:00
TRIP100168,2022-01-14 10:25:00,2,0.34,15.01,Cash,2022-01-14 10:49:00
TRIP100169,2022-01-02 20:10:00,1,1.64,30.19,Cash,2022-01-02 21:10:00
TRIP100170,2022-01-11 13:33:00,4,2.0,39.99,Card,2022-01-11 14:15:00
TRIP100171,2022-01-19 01:02:00,4,0.11,43.04,Cash,2022-01-19 01:23:00
TRIP100172,2022-01-27 07:47:00,1,1.26,23.66,Cash,2022-01-27 08:35:00
TRIP100173,2022-01-20 22:07:00,4,0.77,24.61,Cash,2022-01-20 23:03:00
TRIP100174,2022-01-25 16:09:00,1,0.32,5.71,Card,2022-01-25 16:42:00
TRIP100175,2022-01-13 12:36:00,2,7.34,20.02,Cash,2022-01-13 13:00:00
TRIP100176,2022-01-02 09:20:00,1,4.7,8.49,Cash,2022-01-02 09:45:00
TRIP100177,2022-01-17 01:35:00,1,2.84,14.99,No Charge,2022-01-17 02:13:00
TRIP100178,2022-01-17 13:40:00,1,6.1,37.52,Cash,2022-01-17 14:39:00
TRIP100179,2022-01-04 17:36:00,2,3.83,31.17,Card,2022-01-04 18:00:00
TRIP100180,2022-01-17 14:30:00,2,5.82,37.01,Cash,2022-01-17 14:51:00
TRIP100181,2022-01-21 22:21:00,4,3.41,16.49,Card,2022-01-21 23:11:00
TRIP100182,2022-01-14 15:47:00,1,8.15,28.1,Card,2022-01-14 16:20:00
TRIP100183,2022-01-23 18:32:00,2,5.44,9.18,Dispute,2022-01-23 19:21:00
TRIP100184,2022-01-01 17:59:00,3,0.54,26.1,Card,2022-01-01 18:15:00
TRIP100185,2022-01-07 16:59:00,1,0.04,43.97,Card,2022-01-07 17:34:00
TRIP100186,2022-01-22 16:14:00,2,5.18,16.81,Card,2022-01-22 16:27:00
TRIP100187,2022-01-02 05:50:00,2,4.19,27.82,Cash,2022-01-02 06:42:00
TRIP100188,2022-01-27 03:45:00,1,10.62,44.58,Card,2022-01-27 04:21:00
TRIP100189,2022-01-21 07:17:00,1,0.31,28.33,No Charge,2022-01-21 08:02:00
TRIP100190,2022-01-12 05:41:00,3,0.74,16.08,Cash,2022-01-12 06:23:00
TRIP100191,2022-01-15 02:46:00,2,0.56,13.42,Card,2022-01-15 02:51:00
TRIP100192,2022-01-05 12:12:00,2,1.67,9.57,Card,2022-01-05 12:22:00
TRIP100193,2022-01-23 15:59:00,2,1.68,5.03,Card,2022-01-23 16:07:00
TRIP100194,2022-01-28 01:07:00,1,5.33,43.95,Dispute,2022-01-28 01:22:00
TRIP100195,2022-01-23 23:05:00,1,6.85,21.16,Cash,2022-01-23 23:43:00
TRIP100196,2022-01-05 07:49:00,2,1.8,47.38,Card,2022-01-05 08:20:00
TRIP100197,2022-01-01 05:40:00,1,2.85,25.2,Card,2022-01-01 06:05:00
TRIP100198,2022-01-22 17:30:00,1,3.18,5.25,Card,2022-01-22 18:03:00
TRIP100199,2022-01-15 13:16:00,2,3.33,13.8,Cash,2022-01-15 13:26:00
TRIP100200,2022-01-24 20:05:00,1,0.59,37.39,Cash,2022-01-24 20:21:00
TRIP100201,2022-01-11 14:53:00,1,5.78,21.01,Card,2022-01-11 15:14:00
TRIP100202,2022-01-30 00:00:00,4,0.86,22.23,Card,2022-01-30 00:11:00
TRIP100203,2022-01-26 14:47:00,1,2.39,43.68,Cash,2022-01-26 15:34:00
TRIP100204,2022-01-18 08:48:00,1,5.82,49.56,Card,2022-01-18 09:01:00
TRIP100205,2022-01-25 04:58:00,4,2.54,17.83,Card,2022-01-25 05:15:00
TRIP100206,2022-01-15 18:15:00,1,3.15,25.07,Card,2022-01-15 19:06:00
TRIP100207,2022-01-30 04:25:00,2,0.56,15.82,Cash,2022-01-30 04:55:00
TRIP100208,2022-01-06 03:14:00,3,0.51,31.04,Card,2022-01-06 03:26:00
TRIP100209,2022-01-11 08:47:00,1,9.53,22.5,Card,2022-01-11 08:54:00
TRIP100210,2022-01-30 02:13:00,1,1.18,24.09,Cash,2022-01-30 02:24:00
TRIP100211,2022-01-24 03:01:00,1,2.03,22.05,Card,2022-01-24 03:14:00
TRIP100212,2022-01-11 18:15:00,1,2.96,28.35,No Charge,2022-01-11 19:11:00
TRIP100213,2022-01-23 20:32:00,2,0.26,9.9,Card,2022-01-23 20:41:00
TRIP100214,2022-01-10 04:27:00,4,2.17,3.34,Card,2022-01-10 04:47:00
TRIP100215,2022-01-18 06:03:00,5,1.9,44.31,Card,2022-01-18 07:01:00
TRIP100216,2022-01-29 01:39:00,1,0.34,10.59,Card,2022-01-29 02:10:00
TRIP100217,2022-01-06 18:49:00,1,4.11,45.3,Card,2022-01-06 19:38:00
TRIP100218,2022-01-05 14:28:00,1,2.92,9.29,Card,2022-01-05 14:59:00
TRIP100219,2022-01-20 05:19:00,2,2.93,15.78,Card,2022-01-20 06:07:00
TRIP100220,2022-01-24 16:38:00,2,2.1,34.72,Dispute,2022-01-24 17:26:00
TRIP100221,2022-01-05 20:07:00,2,3.2,38.01,Dispute,2022-01-05 21:03:00
TRIP100222,2022-01-19 15:59:00,2,1.26,44.16,Card,2022-01-19 16:51:00
TRIP100223,2022-01-19 18:20:00,2,4.23,20.38,Cash,2022-01-19 19:12:00
TRIP100224,2022-01-08 04:34:00,4,1.79,37.86,Cash,2022-01-08 05:24:00
TRIP100225,2022-01-07 12:25:00,1,2.15,23.68,Card,2022-01-07 12:40:00
TRIP100226,2022-01-22 23:59:00,3,1.04,45.68,Dispute,2022-01-23 00:25:00
TRIP100227,2022-01-16 00:02:00,2,7.59,49.47,Card,2022-01-16 00:51:00
TRIP100228,2022-01-24 09:53:00,2,0.41,32.25,Card,2022-01-24 10:38:00
TRIP100229,2022-01-21 01:07:00,2,1.44,8.69,Card,2022-01-21 01:48:00
TRIP100230,2022-01-20 19:29:00,2,5.81,13.71,Card,2022-01-20 20:18:00
TRIP100231,2022-01-27 02:54:00,6,2.31,49.82,Card,2022-01-27 03:07:00
TRIP100232,2022-01-27 01:19:00,2,0.86,29.69,Card,2022-01-27 01:42:00
TRIP100233,2022-01-27 02:31:00,2,0.73,13.69,Card,2022-01-27 02:50:00
TRIP100234,2022-01-21 18:23:00,3,0.67,14.54,Cash,2022-01-21 19:15:00
TRIP100235,2022-01-04 10:25:00,5,1.24,3.62,Card,2022-01-04 10:48:00
TRIP100236,2022-01-04 12:39:00,2,0.36,19.8,Card,2022-01-04 13:36:00
TRIP100237,2022-01-18 21:29:00,1,3.67,46.67,Cash,2022-01-18 21:54:00
TRIP100238,2022-01-05 22:23:00,1,1.72,45.53,Card,2022-01-05 22:51:00
TRIP100239,2022-01-04 13:02:00,2,1.58,38.06,Cash,2022-01-04 13:26:00
TRIP100240,2022-01-25 15:38:00,2,5.71,5.51,Cash,2022-01-25 16:25:00
TRIP100241,2022-01-07 03:05:00,4,4.23,4.49,Card,2022-01-07 03:54:00
TRIP100242,2022-01-10 16:41:00,1,6.57,48.59,Cash,2022-01-10 17:11:00
TRIP100243,2022-01-25 00:49:00,3,0.43,17.0,Card,2022-01-25 01:07:00
TRIP100244,2022-01-06 03:41:00,2,11.57,48.09,Cash,2022-01-06 04:38:00
TRIP100245,2022-01-05 00:09:00,2,3.95,44.0,Dispute,2022-01-05 01:04:00
TRIP100246,2022-01-06 03:58:00,4,9.21,35.76,Cash,2022-01-06 04:32:00
TRIP100247,2022-01-17 04:47:00,5,1.41,39.64,Card,2022-01-17 05:14:00
TRIP100248,2022-01-28 16:05:00,2,0.28,34.82,Cash,2022-01-28 16:36:00
TRIP100249,2022-01-01 01:22:00,3,1.15,11.9,Card,2022-01-01 01:39:00
TRIP100250,2022-01-04 14:49:00,4,1.44,42.03,Card,2022-01-04 15:24:00
TRIP100251,2022-01-06 15:53:00,2,1.1,6.88,Card,2022-01-06 16:45:00
TRIP100252,2022-01-26 10:23:00,2,4.66,49.57,Card,2022-01-26 11:04:00
TRIP100253,2022-01-02 18:51:00,4,0.97,14.2,Card,2022-01-02 19:04:00
TRIP100254,2022-01-11 06:58:00,4,0.04,36.89,Card,2022-01-11 07:52:00
TRIP100255,2022-01-11 11:57:00,2,0.75,42.33,No Charge,2022-01-11 12:55:00
